object,count(*)
mouse,194
mousetrap,999
moving_van,840
mushroom,169
muzzle,428
nail,427
necklace,162
neck_brace,510
nematode,877
night_snake,84
nipple,820
notebook,219
obelisk,72
oboe,239
ocarina,614
odometer,72
oil_filter,507
orange,344
orangutan,103
organ,114
oscilloscope,1145
otter,78
overskirt,420
ox,225
oxcart,94
oxygen_mask,168
paddle,324
paddlewheel,53
padlock,212
paintbrush,437
pajama,683
palace,355
panpipe,714
paper_towel,516
parachute,326
parallel_bars,100
parking_meter,169
park_bench,412
pay-phone,80
pedestal,139
pelican,57
pencil_box,1172
pencil_sharpener,486
perfume,3731
Persian_cat,77
person,24564
Petri_dish,172
pick,1043
pickelhaube,536
picket_fence,224
pier,261
piggy_bank,214
pillow,935
pill_bottle,784
pineapple,111
ping-pong_ball,481
pinwheel,217
pirate,61
pitcher,142
pizza,649
plane,203
planetarium,171
plastic_bag,1442
plate,1272
plate_rack,170
platypus,273
plow,119
plunger,413
Polaroid_camera,54
pole,189
polecat,85
police_van,61
pomegranate,264
poncho,151
pool_table,87
pop_bottle,131
pot,135
potpie,348
"potted plant",252
potter's_wheel,461
power_drill,242
prayer_rug,1586
pretzel,1049
printer,85
prison,334
proboscis_monkey,81
projectile,106
projector,125
promontory,77
puck,655
pug,150
punching_bag,154
purse,147
quail,56
quill,876
quilt,285
racer,285
racket,417
radio,111
radio_telescope,96
rain_barrel,58
rapeseed,273
recreational_vehicle,134
red_fox,54
red_wine,679
red_wolf,53
reel,116
refrigerator,355
remote_control,357
restaurant,966
revolver,168
rhinoceros_beetle,96
rifle,883
rocking_chair,196
rock_beauty,102
rock_crab,94
rotisserie,318
rubber_eraser,846
rugby_ball,296
rule,1622
running_shoe,187
safe,488
safety_pin,599
saltshaker,182
Saluki,60
sandal,282
sandbar,116
sandwich,157
sarong,744
sax,471
scabbard,105
scale,629
school_bus,132
schooner,67
scissors,209
scoreboard,5139
scorpion,177
screen,2592
screw,387
screwdriver,320
scuba_diver,133
seashore,1223
seat_belt,54
sea_anemone,152
sea_cucumber,53
sea_lion,134
sea_slug,54
sea_snake,82
sea_urchin,127
sewing_machine,367
sheep,97
shield,518
shoe_shop,371
shoji,75
shopping_basket,167
shopping_cart,155
shovel,171
shower_cap,819
shower_curtain,403
Siamese_cat,59
Siberian_husky,72
sidewinder,68
skateboard,75
ski,371
ski_mask,289
skunk,70
sleeping_bag,674
slide_rule,452
sliding_door,61
slot,2441
snail,220
snorkel,187
snowmobile,174
soap_dispenser,183
soccer_ball,201
sock,168
solar_dish,203
sombrero,524
sorrel,199
soup_bowl,264
space_bar,101
space_heater,70
space_shuttle,306
spaghetti_squash,140
spatula,183
speedboat,79
spider_web,93
spindle,87
spiny_lobster,129
spoon,97
"sports ball",212
sports_car,59
spotlight,367
Staffordshire_bullterrier,81
stage,1500
starfish,231
steam_locomotive,86
steel_arch_bridge,136
steel_drum,90
stethoscope,354
stole,412
stone_wall,53
"stop sign",567
stopwatch,555
stove,154
strainer,138
strawberry,339
streetcar,59
street_sign,3966
stretcher,256
studio_couch,111
stupa,119
sturgeon,70
submarine,63
suit,560
suitcase,77
sundial,379
